id_version,NC,mWMC,mcBC
51ca4b9fc249faade456a337e34872a2a37b8c66,989,20.462084,0.15561783
5e0174dea5ced1f233a19465e28c8819644428eb,989,20.434782,0.15571088
434a649741e14210366de234516548895a72e8cb,984,20.40752,0.15415016
e417f754dd1cdd20725c6ce1ae663ba93bb8ca21,984,20.40752,0.15415016
c5617911c5bca48beac75354222b01258736bf37,981,20.36901,0.15214995
192943c1fc2ec1cf3d2afa540cb484d2c16ac5ea,981,20.357798,0.15228711
707888c9e99f60faa256b7203df8a9ab050bb24b,970,20.39897,0.1515339
014334212f78e80c2d227240fad891f3fd72017a,970,20.305155,0.15155572
2feb39bdf6d5649e5d588277e4838c456b5c7c5a,964,20.316391,0.15117402
f54f46e71129609ead00d08d8d9c03d360c931ee,964,20.303942,0.15122637
3d53a8b4b3302a15de2eb22ca05c271df06159fd,960,20.273958,0.15103419
8574abf26eb3b77e268c3f67557083b8824015be,960,20.217709,0.15103933
aaad28109bd410f7e9a2ae5e4e807f0e047bc953,960,20.217709,0.15103933
3a41b15af724c25bb34fbadd9bdd49f215fe4ee4,960,20.21875,0.15104364
4a7adcf82944b8b65a641f52a9ef845134f7281e,958,20.145094,0.15136322
c9c3ed92977e745d0634106e56d877cb9c0cd7ef,958,20.14927,0.15134834
b67b95070b507f8f64b94bc9755013b48764c732,958,20.13048,0.15138747
77ca4e3c7095f89822c296e5d8392d4757b5b4f3,955,20.026178,0.15183061
df3c6af25cc4c39b709eeb269617d4823dc4d9af,950,19.98,0.15254085
11f45369e5c8238074bdd56b23620bdda21cabaa,950,19.98,0.15254085
798c883520d3e06885edfd0e2dc6eaf211b648f6,950,19.98,0.15254085
ba084caf4d4db53b4bf11e468aebf44a1f20ceac,950,19.98,0.15254085
adfbe8d5c2558eee6619d05bf39e1e69f3160e28,950,19.98,0.15250859
8a135f26a97ff2850a977d5b86019384de7da8ab,950,19.98,0.15249515
afe88bacfbd7743d3b36971ab34d37d265d03bbe,950,19.98,0.15249509
2fd2b74c2eb3bd7e7fa962f3c2ceb0dd5d9a2dce,950,19.98,0.15249509
539986e5fefd6f26740bb4b8f3959b09affca21f,950,19.98,0.15249509
bca281e95c6081583d4c3635f9deafb08b8e0773,950,19.98,0.15249492
ca03155b9069fea442fa51ea17140e7f45e2c5a8,951,19.9653,0.15239993
b7ff8de329049ed5450727db875d86def8d98c89,951,19.9653,0.15235874
50cd92206d960579abe36b5c0350d7c9a7288dc2,948,19.743671,0.15188758
eb1c31c3a8a3888f6a32970fbba5ba3d25f391de,948,19.743671,0.15188758
2593921b49fe21d384e9af27586b348add6a6fd0,948,19.734177,0.15188763
d8a1cc6452f5763d937ced5ffd1a984702b1a8f2,948,19.72152,0.15186222
f2f66afb05116b4f833656a1069f02cdac377936,948,19.72152,0.15186258
f65e064e98510ad467b67e8064a66b8d85a2a90f,948,19.714134,0.15198655
e436ab3648a8dbff88e42ffd04400786c52011bf,948,19.704641,0.151986
6de68a28b135c56e2905c45b648872db3ab8aa7e,946,19.664906,0.1514607
edba7b4e9da4317780c22ebe496f9d178e7c4e2f,936,19.657051,0.1508938
fd862331b96d16ee9f32473cc7860d6577a429dd,936,19.657051,0.15089352
dea2d6b1184fa881fa6f17638d5c86d9922c9766,936,19.654915,0.15089628
