chemin, class, classes_LOC, classe_CLOL, classe_DC, WMC, classe_BC
src\main\java\org\jfree\chart\api\HorizontalAlignment.java, HorizontalAlignment, 48, 37, 0.7708333333333334, 1, 0.7708333333333334
src\main\java\org\jfree\chart\api\Layer.java, Layer, 37, 27, 0.7297297297297297, 1, 0.7297297297297297
src\main\java\org\jfree\chart\api\LengthAdjustmentType.java, LengthAdjustmentType, 47, 36, 0.7659574468085106, 1, 0.7659574468085106
src\main\java\org\jfree\chart\api\package-info.java, package-info, 4, 3, 0.75, 1, 0.75
src\main\java\org\jfree\chart\api\PublicCloneable.java, PublicCloneable, 53, 43, 0.8113207547169812, 1, 0.8113207547169812
src\main\java\org\jfree\chart\api\RectangleAlignment.java, RectangleAlignment, 128, 43, 0.3359375, 2, 0.16796875
src\main\java\org\jfree\chart\api\RectangleAnchor.java, RectangleAnchor, 152, 52, 0.34210526315789475, 3, 0.11403508771929825
src\main\java\org\jfree\chart\api\RectangleEdge.java, RectangleEdge, 107, 60, 0.5607476635514018, 6, 0.09345794392523364
src\main\java\org\jfree\chart\api\RectangleInsets.java, RectangleInsets, 483, 233, 0.4824016563146998, 47, 0.010263865027972335
src\main\java\org\jfree\chart\api\Rotation.java, Rotation, 67, 50, 0.746268656716418, 2, 0.373134328358209
src\main\java\org\jfree\chart\api\SortOrder.java, SortOrder, 44, 34, 0.7727272727272727, 1, 0.7727272727272727
src\main\java\org\jfree\chart\api\TableOrder.java, TableOrder, 44, 34, 0.7727272727272727, 1, 0.7727272727272727
src\main\java\org\jfree\chart\api\UnitType.java, UnitType, 44, 34, 0.7727272727272727, 1, 0.7727272727272727
src\main\java\org\jfree\chart\api\VerticalAlignment.java, VerticalAlignment, 48, 37, 0.7708333333333334, 1, 0.7708333333333334
src\main\java\org\jfree\chart\api\XYCoordinateType.java, XYCoordinateType, 53, 42, 0.7924528301886793, 1, 0.7924528301886793
src\main\java\org\jfree\chart\axis\Axis.java, Axis, 1536, 743, 0.4837239583333333, 157, 0.0030810443205944796
src\main\java\org\jfree\chart\axis\AxisCollection.java, AxisCollection, 127, 73, 0.5748031496062992, 6, 0.0958005249343832
